i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
21020090010518,2008-09,Mainland Rural,4,0,0,8,4,4,4,8,0,0,4,4,0,0,3.688879454
2102009001051801,2010-11,Mainland Rural,4,0,4,4,4,0,0,8,0,4,4,4,0,0,3.583518938
21020090010522,2008-09,Mainland Rural,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.098612289
2102009001052201,2010-11,Mainland Rural,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.098612289
21020090010688,2008-09,Mainland Rural,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1.791759469
2102009001068801,2010-11,Mainland Rural,2,2,2,2,4,0,0,0,0,0,0,2,0,0,2.63905733
21020090010689,2008-09,Mainland Rural,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1.386294361
2102009001068902,2010-11,Mainland Rural,0,2,0,2,0,0,0,2,2,2,0,0,0,0,2.302585093
21020090010801,2008-09,Mainland Rural,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1.386294361
2102009001080101,2010-11,Mainland Rural,0,2,2,0,0,2,0,0,0,0,2,2,0,0,2.302585093
21020090010838,2008-09,Mainland Rural,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1.791759469
2102009001083801,2010-11,Mainland Rural,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1.791759469
21020090010858,2008-09,Mainland Rural,4,0,0,2,2,4,2,0,0,2,2,2,0,0,2.995732274
2102009001085801,2010-11,Mainland Rural,0,0,4,2,0,4,2,0,2,2,2,2,0,0,2.995732274
2103-001,2014-15,Mainland Rural,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1.386294361
2103-002,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
21030090030151,2008-09,Mainland Rural,0,6,6,3,0,3,0,6,0,3,6,3,0,0,3.583518938
2103009003015101,2010-11,Mainland Rural,0,12,0,8,8,0,0,12,0,4,4,4,4,0,4.025351691
21030090030197,2008-09,Mainland Rural,5,0,0,0,0,5,0,10,0,10,0,0,0,5,3.555348061
2103009003019701,2010-11,Mainland Rural,0,8,0,8,0,4,0,0,4,8,0,0,0,4,3.583518938
2103009003019702,2010-11,Mainland Rural,0,0,2,0,0,0,2,0,4,0,4,2,2,2,2.890371758
2103009003019704,2010-11,Mainland Rural,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.386294361
21030090030330,2008-09,Mainland Rural,0,0,0,0,4,0,2,2,0,0,0,2,2,0,2.48490665
2103009003033001,2010-11,Mainland Rural,0,0,0,0,2,0,2,2,2,0,0,0,2,2,2.48490665
21030090030335,2008-09,Mainland Rural,0,2,2,0,2,0,0,0,0,1,1,0,0,0,2.079441542
2103009003033501,2010-11,Mainland Rural,0,1,2,1,2,0,0,0,0,0,1,1,0,0,2.079441542
21030090030393,2008-09,Mainland Rural,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912
2103009003039301,2010-11,Mainland Rural,2,2,4,0,0,0,0,0,0,2,2,0,0,0,2.48490665
21030090030544,2008-09,Mainland Rural,1,0,0,3,0,2,2,1,0,0,1,1,0,0,2.397895273
2103009003054401,2010-11,Mainland Rural,2,2,0,4,0,4,2,4,2,0,2,2,0,0,3.17805383
21030090030694,2008-09,Mainland Rural,1,1,1,1,1,1,1,0,0,0,1,1,0,0,2.197224577
2103009003069401,2010-11,Mainland Rural,2,2,0,4,0,2,4,0,2,0,0,2,2,0,2.995732274
21030090030776,2008-09,Mainland Rural,0,0,0,0,3,3,0,3,3,3,3,3,0,0,3.044522438
2103009003077601,2010-11,Mainland Rural,0,0,0,0,0,2,2,2,2,0,2,2,0,0,2.48490665
2104-001,2012-13,Mainland Rural,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1.386294361
21040020040114,2008-09,Mainland Rural,0,0,0,2,0,0,0,0,2,0,2,2,0,0,2.079441542
2104002004011401,2010-11,Mainland Rural,0,0,0,2,0,0,0,0,2,0,2,2,0,0,2.079441542
21040020040347,2008-09,Mainland Rural,3,0,3,3,3,3,3,3,0,0,0,3,3,0,3.295836866
2104002004034701,2010-11,Mainland Rural,0,0,2,2,2,2,2,2,0,0,0,2,2,0,2.772588722
2104002004034703,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21040020040396,2008-09,Mainland Rural,2,0,1,1,0,0,1,0,0,0,0,1,0,0,1.791759469
2104002004039601,2010-11,Mainland Rural,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1.791759469
